year,month,fuel_type,count
2023,7,Hybrid (Diesel),812
2023,7,Hybrid (Petrol),4140
2023,7,Hydrogen,2
2023,7,PHEV,1605
2023,7,Petrol,6253
2023,8,BEV,4302
2023,8,Diesel,1775
2023,8,Diesel PHEV,46
2023,8,Hybrid (Diesel),917
2023,8,Hybrid (Petrol),4373
2023,8,Hydrogen,1
2023,8,PHEV,1564
2023,8,Petrol,6056
2023,9,BEV,5157
2023,9,Diesel,1821
2023,9,Diesel PHEV,52
2023,9,Hybrid (Diesel),1166
2023,9,Hybrid (Petrol),4771
2023,9,LPG,1
2023,9,PHEV,1917
2023,9,Petrol,6793
2023,10,BEV,4496
2023,10,Diesel,1750
2023,10,Diesel PHEV,48
2023,10,Hybrid (Diesel),926
2023,10,Hybrid (Petrol),4901
2023,10,Hydrogen,1
2023,10,PHEV,1883
2023,10,Petrol,6267
2023,11,BEV,4737
2023,11,CNG,1
2023,11,Diesel,2044
2023,11,Diesel PHEV,47
2023,11,Hybrid (Diesel),1135
2023,11,Hybrid (Petrol),5222
2023,11,Hydrogen,1
2023,11,PHEV,2016
2023,11,Petrol,6815
2023,12,BEV,7252
2023,12,CNG,2
2023,12,Diesel,2270
2023,12,Diesel PHEV,71
2023,12,Hybrid (Diesel),1225
2023,12,Hybrid (Petrol),5918
2023,12,Hydrogen,1
2023,12,PHEV,2569
2023,12,Petrol,7550
2024,1,BEV,2389
2024,1,CNG,1
2024,1,Diesel,1713
2024,1,Diesel PHEV,37
2024,1,Hybrid (Diesel),839
2024,1,Hybrid (Petrol),3903
2024,1,Hydrogen,6
2024,1,PHEV,1491
2024,1,Petrol,5007
2024,2,BEV,3311
2024,2,CNG,1
2024,2,Diesel,1727
2024,2,Diesel PHEV,48
2024,2,Hybrid (Diesel),813
2024,2,Hybrid (Petrol),5076
2024,2,Hydrogen,1
2024,2,PHEV,1662
2024,2,Petrol,5937
2024,3,BEV,4827
2024,3,CNG,1
2024,3,Diesel,2081
